Data processed on: 2025-10-04T15:19:24
iter, measured, state-pred, uncertainty
920,4223.728,4231.315,1.978
921,4234.191,4240.392,1.978
922,4258.113,4249.771,1.978
923,4259.349,4259.000,1.978
924,4275.976,4268.386,1.978
925,4277.198,4277.622,1.978
926,4283.196,4286.803,1.978
927,4302.264,4296.189,1.978
928,4309.641,4305.546,1.978
929,4322.394,4314.980,1.978
930,4314.72,4324.088,1.978
931,4328.067,4333.288,1.978
932,4340.425,4342.559,1.978
933,4349.18,4351.829,1.978
934,4351.882,4360.978,1.978
935,4379.347,4370.497,1.978
936,4385.397,4379.960,1.978
937,4387.699,4389.292,1.978
938,4404.0,4398.771,1.978
939,4418.182,4408.354,1.978
940,4420.495,4417.805,1.978
941,4436.345,4427.392,1.978
942,4428.006,4436.637,1.978
943,4443.645,4446.017,1.978
944,4458.023,4455.504,1.978
945,4459.243,4464.839,1.978
946,4465.949,4474.130,1.978
947,4489.3,4483.707,1.978
948,4484.15,4493.004,1.978
949,4503.769,4502.513,1.978
950,4522.498,4512.215,1.978
951,4520.702,4521.701,1.978
952,4536.417,4531.319,1.978
953,4538.037,4540.791,1.978
954,4542.434,4550.171,1.978
955,4552.899,4559.581,1.978
956,4561.228,4568.978,1.978
957,4588.401,4578.735,1.978
958,4588.164,4588.306,1.978
959,4607.932,4598.089,1.978
960,4611.357,4607.757,1.978
961,4616.963,4617.356,1.978
962,4637.205,4627.175,1.978
963,4632.334,4636.715,1.978
964,4643.443,4646.295,1.978
965,4659.063,4656.004,1.978
966,4659.692,4665.544,1.978
967,4674.631,4675.199,1.978
968,4675.496,4684.689,1.978
969,4700.784,4694.501,1.978
970,4695.879,4704.032,1.978
971,4722.837,4713.916,1.978
972,4724.386,4723.647,1.978
973,4736.454,4733.434,1.978
974,4733.635,4742.982,1.978
975,4761.962,4752.910,1.978
976,4763.357,4762.680,1.978
977,4766.137,4772.322,1.978
978,4785.949,4782.174,1.978
979,4791.508,4791.951,1.978
980,4799.518,4801.703,1.978
981,4813.147,4811.541,1.978
982,4828.428,4821.497,1.978
983,4822.97,4831.160,1.978
984,4831.346,4840.805,1.978
985,4841.532,4850.468,1.978
986,4856.791,4860.251,1.978
987,4877.33,4870.255,1.978
988,4886.18,4880.247,1.978
989,4893.591,4890.200,1.978
990,4904.376,4900.179,1.978
991,4902.57,4909.936,1.978
992,4917.735,4919.809,1.978
993,4927.355,4929.685,1.978
994,4939.644,4939.619,1.978
995,4951.156,4949.594,1.978
996,4963.585,4959.627,1.978
997,4974.107,4969.681,1.978
998,4983.666,4979.735,1.978
999,4997.554,4989.876,1.978
1000,5002.676,4999.929,1.978
